Test Case ID,CaseCounter,TimeDifference,TotalMemory,FreeMemory
Find elements in 100,0,0,8474939392,1419988992
Find elements in 100,25,53900,8474939392,1419988992
Find elements in 100,50,56200,8474939392,1419988992
Find elements in 100,75,57900,8474939392,1419988992
Find elements in 100,100,64400,8474939392,1419988992
SSearchTreeTest 100 insert,2,1107500,8474939392,1419804672
SSearchTreeTest 100 insert,3,1109900,8474939392,1419804672
SSearchTreeTest 100 insert,4,1111200,8474939392,1419804672
SSearchTreeTest 100 insert,5,1112500,8474939392,1419804672
SSearchTreeTest 100 insert,6,1113900,8474939392,1419804672
SSearchTreeTest 100 insert,7,1115300,8474939392,1419804672
SSearchTreeTest 100 insert,8,1116700,8474939392,1419804672
SSearchTreeTest 100 insert,9,1118500,8474939392,1419804672
SSearchTreeTest 100 insert,10,1120100,8474939392,1419804672
SSearchTreeTest 100 insert,11,1121400,8474939392,1419804672
SSearchTreeTest 100 insert,12,1122700,8474939392,1419804672
SSearchTreeTest 100 insert,13,1124000,8474939392,1419804672
SSearchTreeTest 100 insert,14,1125500,8474939392,1419800576
SSearchTreeTest 100 insert,15,1127300,8474939392,1419792384
SSearchTreeTest 100 insert,16,1130000,8474939392,1419780096
SSearchTreeTest 100 insert,17,1131700,8474939392,1419780096
SSearchTreeTest 100 insert,18,1133400,8474939392,1419780096
SSearchTreeTest 100 insert,19,1135100,8474939392,1419771904
SSearchTreeTest 100 insert,20,1137000,8474939392,1419771904
SSearchTreeTest 100 insert,21,1138300,8474939392,1419771904
SSearchTreeTest 100 insert,22,1139600,8474939392,1419771904
SSearchTreeTest 100 insert,23,1141100,8474939392,1419763712
SSearchTreeTest 100 insert,24,1142600,8474939392,1419763712
SSearchTreeTest 100 insert,25,1144100,8474939392,1419763712
SSearchTreeTest 100 insert,26,1146600,8474939392,1419755520
SSearchTreeTest 100 insert,27,1148300,8474939392,1419755520
SSearchTreeTest 100 insert,28,1150100,8474939392,1419755520
SSearchTreeTest 100 insert,29,1151900,8474939392,1419755520
SSearchTreeTest 100 insert,30,1154700,8474939392,1419739136
SSearchTreeTest 100 insert,31,1156200,8474939392,1419730944
SSearchTreeTest 100 insert,32,1157600,8474939392,1419730944
SSearchTreeTest 100 insert,33,1159100,8474939392,1419730944
SSearchTreeTest 100 insert,34,1160600,8474939392,1419730944
SSearchTreeTest 100 insert,35,1162200,8474939392,1419730944
SSearchTreeTest 100 insert,36,1163900,8474939392,1419730944
SSearchTreeTest 100 insert,37,1165600,8474939392,1419730944
SSearchTreeTest 100 insert,38,1167500,8474939392,1419730944
SSearchTreeTest 100 insert,39,1169300,8474939392,1419722752
SSearchTreeTest 100 insert,40,1172200,8474939392,1419722752
SSearchTreeTest 100 insert,41,1173500,8474939392,1419722752
SSearchTreeTest 100 insert,42,1175000,8474939392,1419714560
SSearchTreeTest 100 insert,43,1176600,8474939392,1419714560
SSearchTreeTest 100 insert,44,1187000,8474939392,1419706368
SSearchTreeTest 100 insert,45,1190200,8474939392,1419706368
SSearchTreeTest 100 insert,46,1192100,8474939392,1419706368
SSearchTreeTest 100 insert,47,1194000,8474939392,1419706368
SSearchTreeTest 100 insert,48,1197100,8474939392,1419698176
SSearchTreeTest 100 insert,49,1199200,8474939392,1419698176
SSearchTreeTest 100 insert,50,1201400,8474939392,1419689984
SSearchTreeTest 100 insert,51,1202900,8474939392,1419689984
SSearchTreeTest 100 insert,52,1204500,8474939392,1419689984
SSearchTreeTest 100 insert,53,1206100,8474939392,1419689984
SSearchTreeTest 100 insert,54,1207800,8474939392,1419685888
SSearchTreeTest 100 insert,55,1209600,8474939392,1419681792
SSearchTreeTest 100 insert,56,1211500,8474939392,1419681792
SSearchTreeTest 100 insert,57,1214400,8474939392,1419673600
SSearchTreeTest 100 insert,58,1216400,8474939392,1419665408
SSearchTreeTest 100 insert,59,1218500,8474939392,1419657216
SSearchTreeTest 100 insert,60,1220600,8474939392,1419657216
SSearchTreeTest 100 insert,61,1222200,8474939392,1419657216
SSearchTreeTest 100 insert,62,1225700,8474939392,1419632640
SSearchTreeTest 100 insert,63,1227400,8474939392,1419624448
SSearchTreeTest 100 insert,64,1229100,8474939392,1419624448
SSearchTreeTest 100 insert,65,1231000,8474939392,1419624448
SSearchTreeTest 100 insert,66,1232800,8474939392,1419620352
SSearchTreeTest 100 insert,67,1234900,8474939392,1419616256
SSearchTreeTest 100 insert,68,1236900,8474939392,1419616256
SSearchTreeTest 100 insert,69,1239000,8474939392,1419608064
SSearchTreeTest 100 insert,70,1242200,8474939392,1419591680
SSearchTreeTest 100 insert,71,1243800,8474939392,1419591680
SSearchTreeTest 100 insert,72,1245500,8474939392,1419591680
SSearchTreeTest 100 insert,73,1247300,8474939392,1419591680
SSearchTreeTest 100 insert,74,1249100,8474939392,1419591680
SSearchTreeTest 100 insert,75,1251000,8474939392,1419591680
SSearchTreeTest 100 insert,76,1253000,8474939392,1419591680
SSearchTreeTest 100 insert,77,1255100,8474939392,1419591680
SSearchTreeTest 100 insert,78,1257200,8474939392,1419591680
SSearchTreeTest 100 insert,79,1259600,8474939392,1419591680
SSearchTreeTest 100 insert,80,1261900,8474939392,1419591680
SSearchTreeTest 100 insert,81,1263600,8474939392,1419591680
SSearchTreeTest 100 insert,82,1265300,8474939392,1419591680
SSearchTreeTest 100 insert,83,1267200,8474939392,1419591680
SSearchTreeTest 100 insert,84,1269100,8474939392,1419591680
SSearchTreeTest 100 insert,85,1271100,8474939392,1419591680
SSearchTreeTest 100 insert,86,1273100,8474939392,1419591680
SSearchTreeTest 100 insert,87,1275400,8474939392,1419591680
SSearchTreeTest 100 insert,88,1277600,8474939392,1419591680
SSearchTreeTest 100 insert,89,1279900,8474939392,1419591680
SSearchTreeTest 100 insert,90,1282300,8474939392,1419591680
SSearchTreeTest 100 insert,91,1284000,8474939392,1419591680
SSearchTreeTest 100 insert,92,1285700,8474939392,1419591680
SSearchTreeTest 100 insert,93,1287600,8474939392,1419591680
SSearchTreeTest 100 insert,94,1289400,8474939392,1419591680
SSearchTreeTest 100 insert,95,1291600,8474939392,1419591680
SSearchTreeTest 100 insert,96,1293700,8474939392,1419591680
SSearchTreeTest 100 insert,97,1295800,8474939392,1419591680
SSearchTreeTest 100 insert,98,1298000,8474939392,1419591680
SSearchTreeTest 100 insert,99,1300200,8474939392,1419591680
SSearchTreeTest 100 insert,100,1302500,8474939392,1419591680
SSearchTreeTest 1000 insert,2,1805000,8474939392,1419591680
SSearchTreeTest 1000 insert,3,1807300,8474939392,1419591680
SSearchTreeTest 1000 insert,4,1808500,8474939392,1419591680
SSearchTreeTest 1000 insert,5,1809800,8474939392,1419591680
SSearchTreeTest 1000 insert,6,1811100,8474939392,1419591680
SSearchTreeTest 1000 insert,7,1812500,8474939392,1419591680
SSearchTreeTest 1000 insert,8,1813900,8474939392,1419591680
SSearchTreeTest 1000 insert,9,1815400,8474939392,1419591680
SSearchTreeTest 1000 insert,10,1817300,8474939392,1419591680
SSearchTreeTest 1000 insert,11,1818600,8474939392,1419591680
SSearchTreeTest 1000 insert,12,1819900,8474939392,1419591680
SSearchTreeTest 1000 insert,13,1821200,8474939392,1419591680
SSearchTreeTest 1000 insert,14,1822600,8474939392,1419591680
SSearchTreeTest 1000 insert,15,1824100,8474939392,1419591680
SSearchTreeTest 1000 insert,16,1825600,8474939392,1419591680
SSearchTreeTest 1000 insert,17,1827200,8474939392,1419591680
SSearchTreeTest 1000 insert,18,1828900,8474939392,1419591680
SSearchTreeTest 1000 insert,19,1830600,8474939392,1419591680
SSearchTreeTest 1000 insert,20,1832700,8474939392,1419591680
SSearchTreeTest 1000 insert,21,1834000,8474939392,1419591680
SSearchTreeTest 1000 insert,22,1835300,8474939392,1419591680
SSearchTreeTest 1000 insert,23,1836700,8474939392,1419591680
SSearchTreeTest 1000 insert,24,1838200,8474939392,1419591680
SSearchTreeTest 1000 insert,25,1839700,8474939392,1419591680
SSearchTreeTest 1000 insert,26,1841300,8474939392,1419591680
SSearchTreeTest 1000 insert,27,1842900,8474939392,1419591680
SSearchTreeTest 1000 insert,28,1845400,8474939392,1419591680
SSearchTreeTest 1000 insert,29,1847200,8474939392,1419591680
SSearchTreeTest 1000 insert,30,1849200,8474939392,1419591680
SSearchTreeTest 1000 insert,31,1850500,8474939392,1419591680
SSearchTreeTest 1000 insert,32,1851900,8474939392,1419591680
SSearchTreeTest 1000 insert,33,1853400,8474939392,1419591680
SSearchTreeTest 1000 insert,34,1854900,8474939392,1419591680
SSearchTreeTest 1000 insert,35,1856500,8474939392,1419591680
SSearchTreeTest 1000 insert,36,1858200,8474939392,1419591680
SSearchTreeTest 1000 insert,37,1860100,8474939392,1419591680
SSearchTreeTest 1000 insert,38,1861900,8474939392,1419591680
SSearchTreeTest 1000 insert,39,1863800,8474939392,1419591680
SSearchTreeTest 1000 insert,40,1865800,8474939392,1419591680
SSearchTreeTest 1000 insert,41,1867200,8474939392,1419591680
SSearchTreeTest 1000 insert,42,1868600,8474939392,1419591680
SSearchTreeTest 1000 insert,43,1870200,8474939392,1419591680
SSearchTreeTest 1000 insert,44,1871800,8474939392,1419591680
SSearchTreeTest 1000 insert,45,1873400,8474939392,1419591680
SSearchTreeTest 1000 insert,46,1875400,8474939392,1419591680
SSearchTreeTest 1000 insert,47,1877200,8474939392,1419591680
SSearchTreeTest 1000 insert,48,1879100,8474939392,1419591680
SSearchTreeTest 1000 insert,49,1881100,8474939392,1419591680
SSearchTreeTest 1000 insert,50,1883100,8474939392,1419591680
SSearchTreeTest 1000 insert,51,1884600,8474939392,1419591680
SSearchTreeTest 1000 insert,52,1886100,8474939392,1419591680
SSearchTreeTest 1000 insert,53,1887700,8474939392,1419591680
SSearchTreeTest 1000 insert,54,1889400,8474939392,1419591680
SSearchTreeTest 1000 insert,55,1891400,8474939392,1419591680
SSearchTreeTest 1000 insert,56,1893200,8474939392,1419591680
SSearchTreeTest 1000 insert,57,1895100,8474939392,1419591680
SSearchTreeTest 1000 insert,58,1897000,8474939392,1419591680
SSearchTreeTest 1000 insert,59,1899100,8474939392,1419591680
SSearchTreeTest 1000 insert,60,1901200,8474939392,1419591680
SSearchTreeTest 1000 insert,61,1902700,8474939392,1419591680
SSearchTreeTest 1000 insert,62,1904300,8474939392,1419591680
SSearchTreeTest 1000 insert,63,1906200,8474939392,1419591680
SSearchTreeTest 1000 insert,64,1908000,8474939392,1419591680
SSearchTreeTest 1000 insert,65,1909800,8474939392,1419591680
SSearchTreeTest 1000 insert,66,1911600,8474939392,1419591680
SSearchTreeTest 1000 insert,67,1913600,8474939392,1419591680
SSearchTreeTest 1000 insert,68,1915600,8474939392,1419591680
SSearchTreeTest 1000 insert,69,1917700,8474939392,1419591680
SSearchTreeTest 1000 insert,70,1919900,8474939392,1419591680
SSearchTreeTest 1000 insert,71,1921700,8474939392,1419591680
SSearchTreeTest 1000 insert,72,1923400,8474939392,1419591680
SSearchTreeTest 1000 insert,73,1925100,8474939392,1419591680
SSearchTreeTest 1000 insert,74,1927000,8474939392,1419591680
SSearchTreeTest 1000 insert,75,1928800,8474939392,1419591680
SSearchTreeTest 1000 insert,76,1930800,8474939392,1419591680
SSearchTreeTest 1000 insert,77,1932800,8474939392,1419591680
SSearchTreeTest 1000 insert,78,1934900,8474939392,1419591680
SSearchTreeTest 1000 insert,79,1939200,8474939392,1419591680
SSearchTreeTest 1000 insert,80,1941600,8474939392,1419591680
SSearchTreeTest 1000 insert,81,1943300,8474939392,1419591680
SSearchTreeTest 1000 insert,82,1945100,8474939392,1419591680
SSearchTreeTest 1000 insert,83,1946900,8474939392,1419591680
SSearchTreeTest 1000 insert,84,1948800,8474939392,1419591680
SSearchTreeTest 1000 insert,85,1950700,8474939392,1419591680
SSearchTreeTest 1000 insert,86,1952800,8474939392,1419591680
SSearchTreeTest 1000 insert,87,1955100,8474939392,1419591680
SSearchTreeTest 1000 insert,88,1957300,8474939392,1419591680
SSearchTreeTest 1000 insert,89,1959500,8474939392,1419591680
SSearchTreeTest 1000 insert,90,1961800,8474939392,1419591680
SSearchTreeTest 1000 insert,91,1963500,8474939392,1419591680
SSearchTreeTest 1000 insert,92,1965300,8474939392,1419591680
SSearchTreeTest 1000 insert,93,1967100,8474939392,1419591680
SSearchTreeTest 1000 insert,94,1969000,8474939392,1419591680
SSearchTreeTest 1000 insert,95,1971100,8474939392,1419591680
SSearchTreeTest 1000 insert,96,1973200,8474939392,1419591680
SSearchTreeTest 1000 insert,97,1975300,8474939392,1419591680
SSearchTreeTest 1000 insert,98,1977500,8474939392,1419591680
SSearchTreeTest 1000 insert,99,1979700,8474939392,1419591680
SSearchTreeTest 1000 insert,100,1982000,8474939392,1419591680
SSearchTreeTest 10000 insert,2,2541900,8474939392,1419730944
SSearchTreeTest 10000 insert,3,2543900,8474939392,1419730944
SSearchTreeTest 10000 insert,4,2545100,8474939392,1419730944
SSearchTreeTest 10000 insert,5,2546400,8474939392,1419730944
SSearchTreeTest 10000 insert,6,2547700,8474939392,1419730944
SSearchTreeTest 10000 insert,7,2549000,8474939392,1419730944
SSearchTreeTest 10000 insert,8,2550400,8474939392,1419730944
SSearchTreeTest 10000 insert,9,2551900,8474939392,1419730944
SSearchTreeTest 10000 insert,10,2553700,8474939392,1419730944
SSearchTreeTest 10000 insert,11,2555000,8474939392,1419730944
SSearchTreeTest 10000 insert,12,2556200,8474939392,1419730944
SSearchTreeTest 10000 insert,13,2557500,8474939392,1419730944
SSearchTreeTest 10000 insert,14,2558900,8474939392,1419730944
SSearchTreeTest 10000 insert,15,2560300,8474939392,1419730944
SSearchTreeTest 10000 insert,16,2561800,8474939392,1419730944
SSearchTreeTest 10000 insert,17,2563300,8474939392,1419730944
SSearchTreeTest 10000 insert,18,2564900,8474939392,1419730944
SSearchTreeTest 10000 insert,19,2566600,8474939392,1419730944
SSearchTreeTest 10000 insert,20,2568600,8474939392,1419730944
SSearchTreeTest 10000 insert,21,2569900,8474939392,1419730944
SSearchTreeTest 10000 insert,22,2571100,8474939392,1419730944
SSearchTreeTest 10000 insert,23,2572500,8474939392,1419730944
SSearchTreeTest 10000 insert,24,2573900,8474939392,1419730944
SSearchTreeTest 10000 insert,25,2575400,8474939392,1419730944
SSearchTreeTest 10000 insert,26,2577000,8474939392,1419730944
SSearchTreeTest 10000 insert,27,2578600,8474939392,1419730944
SSearchTreeTest 10000 insert,28,2580300,8474939392,1419730944
SSearchTreeTest 10000 insert,29,2582300,8474939392,1419730944
SSearchTreeTest 10000 insert,30,2584200,8474939392,1419730944
SSearchTreeTest 10000 insert,31,2585500,8474939392,1419730944
SSearchTreeTest 10000 insert,32,2586800,8474939392,1419730944
SSearchTreeTest 10000 insert,33,2588200,8474939392,1419730944
SSearchTreeTest 10000 insert,34,2589700,8474939392,1419730944
SSearchTreeTest 10000 insert,35,2591300,8474939392,1419730944
SSearchTreeTest 10000 insert,36,2592900,8474939392,1419730944
SSearchTreeTest 10000 insert,37,2594600,8474939392,1419730944
SSearchTreeTest 10000 insert,38,2596600,8474939392,1419730944
SSearchTreeTest 10000 insert,39,2598400,8474939392,1419730944
SSearchTreeTest 10000 insert,40,2600300,8474939392,1419730944
SSearchTreeTest 10000 insert,41,2601700,8474939392,1419730944
SSearchTreeTest 10000 insert,42,2603100,8474939392,1419730944
SSearchTreeTest 10000 insert,43,2604600,8474939392,1419730944
SSearchTreeTest 10000 insert,44,2606100,8474939392,1419730944
SSearchTreeTest 10000 insert,45,2607800,8474939392,1419730944
SSearchTreeTest 10000 insert,46,2609500,8474939392,1419730944
SSearchTreeTest 10000 insert,47,2613300,8474939392,1419730944
SSearchTreeTest 10000 insert,48,2615300,8474939392,1419730944
SSearchTreeTest 10000 insert,49,2617200,8474939392,1419730944
SSearchTreeTest 10000 insert,50,2619200,8474939392,1419730944
SSearchTreeTest 10000 insert,51,2620600,8474939392,1419730944
SSearchTreeTest 10000 insert,52,2622100,8474939392,1419730944
SSearchTreeTest 10000 insert,53,2623700,8474939392,1419730944
SSearchTreeTest 10000 insert,54,2625300,8474939392,1419730944
SSearchTreeTest 10000 insert,55,2627000,8474939392,1419730944
SSearchTreeTest 10000 insert,56,2629400,8474939392,1419730944
SSearchTreeTest 10000 insert,57,2631300,8474939392,1419730944
SSearchTreeTest 10000 insert,58,2633200,8474939392,1419730944
SSearchTreeTest 10000 insert,59,2638800,8474939392,1419730944
SSearchTreeTest 10000 insert,60,2641000,8474939392,1419730944
SSearchTreeTest 10000 insert,61,2642500,8474939392,1419730944
SSearchTreeTest 10000 insert,62,2644100,8474939392,1419730944
SSearchTreeTest 10000 insert,63,2648700,8474939392,1419730944
SSearchTreeTest 10000 insert,64,2650600,8474939392,1419730944
SSearchTreeTest 10000 insert,65,2652400,8474939392,1419730944
SSearchTreeTest 10000 insert,66,2654300,8474939392,1419730944
SSearchTreeTest 10000 insert,67,2656200,8474939392,1419730944
SSearchTreeTest 10000 insert,68,2658100,8474939392,1419730944
SSearchTreeTest 10000 insert,69,2660200,8474939392,1419730944
SSearchTreeTest 10000 insert,70,2662300,8474939392,1419730944
SSearchTreeTest 10000 insert,71,2663900,8474939392,1419730944
SSearchTreeTest 10000 insert,72,2665700,8474939392,1419730944
SSearchTreeTest 10000 insert,73,2667400,8474939392,1419730944
SSearchTreeTest 10000 insert,74,2669200,8474939392,1419730944
SSearchTreeTest 10000 insert,75,2671000,8474939392,1419730944
SSearchTreeTest 10000 insert,76,2672900,8474939392,1419730944
SSearchTreeTest 10000 insert,77,2674900,8474939392,1419730944
SSearchTreeTest 10000 insert,78,2677000,8474939392,1419730944
SSearchTreeTest 10000 insert,79,2679100,8474939392,1419730944
SSearchTreeTest 10000 insert,80,2681500,8474939392,1419730944
SSearchTreeTest 10000 insert,81,2683100,8474939392,1419730944
SSearchTreeTest 10000 insert,82,2684900,8474939392,1419730944
SSearchTreeTest 10000 insert,83,2686600,8474939392,1419730944
SSearchTreeTest 10000 insert,84,2688500,8474939392,1419730944
SSearchTreeTest 10000 insert,85,2690400,8474939392,1419730944
SSearchTreeTest 10000 insert,86,2692400,8474939392,1419730944
SSearchTreeTest 10000 insert,87,2694400,8474939392,1419730944
SSearchTreeTest 10000 insert,88,2696700,8474939392,1419730944
SSearchTreeTest 10000 insert,89,2698900,8474939392,1419730944
SSearchTreeTest 10000 insert,90,2701200,8474939392,1419730944
SSearchTreeTest 10000 insert,91,2702800,8474939392,1419730944
SSearchTreeTest 10000 insert,92,2704500,8474939392,1419730944
SSearchTreeTest 10000 insert,93,2706300,8474939392,1419730944
SSearchTreeTest 10000 insert,94,2708100,8474939392,1419730944
SSearchTreeTest 10000 insert,95,2710000,8474939392,1419730944
SSearchTreeTest 10000 insert,96,2712200,8474939392,1419730944
SSearchTreeTest 10000 insert,97,2714300,8474939392,1419730944
SSearchTreeTest 10000 insert,98,2716400,8474939392,1419730944
SSearchTreeTest 10000 insert,99,2718600,8474939392,1419730944
SSearchTreeTest 10000 insert,100,2720800,8474939392,1419730944
