Test Case ID,CaseCounter,TimeDifference,TotalMemory,FreeMemory
DeepCopyAndAddIn100,0,0,8474939392,1430568960
Remove elements in 100,0,0,8474939392,1431293952
Immutable 10000 insert,0,0,8474939392,1431281664
Immutable 10000 insert,1,65300,8474939392,1431277568
Immutable 10000 insert,2,67600,8474939392,1431277568
Immutable 10000 insert,3,68700,8474939392,1431277568
Immutable 10000 insert,4,69600,8474939392,1431277568
Immutable 10000 insert,5,70500,8474939392,1431277568
Immutable 10000 insert,6,71500,8474939392,1431277568
Immutable 10000 insert,7,72500,8474939392,1431277568
Immutable 10000 insert,8,73700,8474939392,1431277568
Immutable 10000 insert,9,74600,8474939392,1431277568
Immutable 10000 insert,10,75600,8474939392,1431277568
Immutable 10000 insert,11,76500,8474939392,1431277568
Immutable 10000 insert,12,77500,8474939392,1431277568
Immutable 10000 insert,13,78400,8474939392,1431277568
Immutable 10000 insert,14,79300,8474939392,1431277568
Immutable 10000 insert,15,80300,8474939392,1431277568
Immutable 10000 insert,16,81300,8474939392,1431277568
Immutable 10000 insert,17,82400,8474939392,1431277568
Immutable 10000 insert,18,83400,8474939392,1431277568
Immutable 10000 insert,19,84300,8474939392,1431277568
Immutable 10000 insert,20,85200,8474939392,1431277568
Immutable 10000 insert,21,86100,8474939392,1431277568
Immutable 10000 insert,22,87100,8474939392,1431277568
Immutable 10000 insert,23,88000,8474939392,1431277568
Immutable 10000 insert,24,88900,8474939392,1431277568
Immutable 10000 insert,25,89900,8474939392,1431277568
Immutable 10000 insert,26,90800,8474939392,1431277568
Immutable 10000 insert,27,91800,8474939392,1431277568
Immutable 10000 insert,28,92700,8474939392,1431277568
Immutable 10000 insert,29,93600,8474939392,1431277568
Immutable 10000 insert,30,94700,8474939392,1431277568
Immutable 10000 insert,31,95600,8474939392,1431277568
Immutable 10000 insert,32,96600,8474939392,1431277568
Immutable 10000 insert,33,97500,8474939392,1431277568
Immutable 10000 insert,34,98500,8474939392,1431277568
Immutable 10000 insert,35,99400,8474939392,1431277568
Immutable 10000 insert,36,100400,8474939392,1431277568
Immutable 10000 insert,37,101500,8474939392,1431277568
Immutable 10000 insert,38,102500,8474939392,1431277568
Immutable 10000 insert,39,103400,8474939392,1431277568
Immutable 10000 insert,40,104300,8474939392,1431277568
Immutable 10000 insert,41,105300,8474939392,1431277568
Immutable 10000 insert,42,106200,8474939392,1431277568
Immutable 10000 insert,43,107100,8474939392,1431277568
Immutable 10000 insert,44,108100,8474939392,1431277568
Immutable 10000 insert,45,109000,8474939392,1431277568
Immutable 10000 insert,46,109900,8474939392,1431277568
Immutable 10000 insert,47,110900,8474939392,1431277568
Immutable 10000 insert,48,111800,8474939392,1431277568
Immutable 10000 insert,49,112700,8474939392,1431277568
Immutable 10000 insert,50,113800,8474939392,1431277568
Immutable 10000 insert,51,114700,8474939392,1431277568
Immutable 10000 insert,52,115700,8474939392,1431277568
Immutable 10000 insert,53,116600,8474939392,1431277568
Immutable 10000 insert,54,117600,8474939392,1431277568
Immutable 10000 insert,55,118500,8474939392,1431277568
Immutable 10000 insert,56,119400,8474939392,1431277568
Immutable 10000 insert,57,120400,8474939392,1431277568
Immutable 10000 insert,58,121300,8474939392,1431277568
Immutable 10000 insert,59,122200,8474939392,1431277568
Immutable 10000 insert,60,123100,8474939392,1431277568
Immutable 10000 insert,61,124100,8474939392,1431277568
Immutable 10000 insert,62,125200,8474939392,1431277568
