Test Case ID,CaseCounter,TimeDifference,TotalMemory,FreeMemory
DeepCopyAndAddIn100,0,0,8474939392,1645785088
DeepCopyAndAddIn100,25,748700,8474939392,1645785088,
DeepCopyAndAddIn100,0,0,8474939392,1645785088
DeepCopyAndAddIn100,50,2000,8474939392,1645785088,
DeepCopyAndAddIn100,0,0,8474939392,1645719552
DeepCopyAndAddIn100,75,4400,8474939392,1645719552,
DeepCopyAndAddIn100,0,0,8474939392,1645719552
DeepCopyAndAddIn100,100,3900,8474939392,1645719552,
Remove elements in 100,0,0,8474939392,1644847104
Remove elements in 100,25,105500,8474939392,1644834816,
Remove elements in 100,50,109200,8474939392,1644834816,
Remove elements in 100,75,111900,8474939392,1644834816,
Remove elements in 100,100,114800,8474939392,1644834816,
SList 10000 insert,0,0,8474939392,1644847104
SList 10000 insert,1,2600,8474939392,1644847104,
SList 10000 insert,2,3700,8474939392,1644847104,
SList 10000 insert,3,4700,8474939392,1644847104,
SList 10000 insert,4,5700,8474939392,1644847104,
SList 10000 insert,5,6600,8474939392,1644847104,
SList 10000 insert,6,7700,8474939392,1644847104,
SList 10000 insert,7,9000,8474939392,1644847104,
SList 10000 insert,8,9900,8474939392,1644847104,
SList 10000 insert,9,10900,8474939392,1644847104,
SList 10000 insert,10,11800,8474939392,1644847104,
SList 10000 insert,11,12800,8474939392,1644847104,
SList 10000 insert,12,13800,8474939392,1644847104,
SList 10000 insert,13,14700,8474939392,1644847104,
SList 10000 insert,14,15700,8474939392,1644847104,
SList 10000 insert,15,16600,8474939392,1644847104,
SList 10000 insert,16,17600,8474939392,1644847104,
SList 10000 insert,17,18500,8474939392,1644847104,
SList 10000 insert,18,19500,8474939392,1644847104,
SList 10000 insert,19,20400,8474939392,1644847104,
SList 10000 insert,20,21600,8474939392,1644847104,
SList 10000 insert,21,22500,8474939392,1644847104,
SList 10000 insert,22,23500,8474939392,1644847104,
SList 10000 insert,23,24400,8474939392,1644847104,
SList 10000 insert,24,25300,8474939392,1644847104,
SList 10000 insert,25,26300,8474939392,1644847104,
SList 10000 insert,26,27300,8474939392,1644847104,
SList 10000 insert,27,28400,8474939392,1644875776,
SList 10000 insert,28,29300,8474939392,1644875776,
SList 10000 insert,29,30300,8474939392,1644875776,
SList 10000 insert,30,31200,8474939392,1644875776,
SList 10000 insert,31,32200,8474939392,1644875776,
SList 10000 insert,32,33100,8474939392,1644875776,
SList 10000 insert,33,34100,8474939392,1644875776,
SList 10000 insert,34,35000,8474939392,1644875776,
SList 10000 insert,35,35900,8474939392,1644875776,
SList 10000 insert,36,36900,8474939392,1644875776,
SList 10000 insert,37,37800,8474939392,1644875776,
SList 10000 insert,38,38800,8474939392,1644875776,
SList 10000 insert,39,39900,8474939392,1644875776,
SList 10000 insert,40,40900,8474939392,1644875776,
SList 10000 insert,41,41800,8474939392,1644875776,
SList 10000 insert,42,42800,8474939392,1644875776,
SList 10000 insert,43,43700,8474939392,1644875776,
SList 10000 insert,44,44700,8474939392,1644875776,
SList 10000 insert,45,45600,8474939392,1644875776,
SList 10000 insert,46,46600,8474939392,1644875776,
SList 10000 insert,47,47500,8474939392,1644875776,
SList 10000 insert,48,48400,8474939392,1644875776,
SList 10000 insert,49,49400,8474939392,1644875776,
SList 10000 insert,50,50300,8474939392,1644875776,
SList 10000 insert,51,51300,8474939392,1644875776,
SList 10000 insert,52,52400,8474939392,1644875776,
SList 10000 insert,53,53300,8474939392,1644875776,
SList 10000 insert,54,54300,8474939392,1644875776,
SList 10000 insert,55,55200,8474939392,1644875776,
SList 10000 insert,56,56200,8474939392,1644875776,
SList 10000 insert,57,57100,8474939392,1644875776,
SList 10000 insert,58,58100,8474939392,1644875776,
SList 10000 insert,59,59000,8474939392,1644875776,
SList 10000 insert,60,60000,8474939392,1644875776,
SList 10000 insert,61,60900,8474939392,1644875776,
SList 10000 insert,62,61900,8474939392,1644875776,
SList 10000 insert,63,64200,8474939392,1644875776,
SList 10000 insert,64,65300,8474939392,1644875776,
SList 10000 insert,65,66200,8474939392,1644875776,
SList 10000 insert,66,67400,8474939392,1644875776,
SList 10000 insert,67,68300,8474939392,1644875776,
SList 10000 insert,68,69300,8474939392,1644875776,
SList 10000 insert,69,70200,8474939392,1644896256,
SList 10000 insert,70,71200,8474939392,1644879872,
SList 10000 insert,71,72200,8474939392,1644867584,
SList 10000 insert,72,73200,8474939392,1644851200,
SList 10000 insert,73,74100,8474939392,1644847104,
SList 10000 insert,74,75100,8474939392,1644847104,
SList 10000 insert,75,76100,8474939392,1644847104,
SList 10000 insert,76,77000,8474939392,1644847104,
SList 10000 insert,77,78000,8474939392,1644847104,
SList 10000 insert,78,78900,8474939392,1644847104,
SList 10000 insert,79,80100,8474939392,1644847104,
SList 10000 insert,80,81000,8474939392,1644847104,
SList 10000 insert,81,82000,8474939392,1644847104,
SList 10000 insert,82,82900,8474939392,1644847104,
SList 10000 insert,83,83900,8474939392,1644847104,
SList 10000 insert,84,84800,8474939392,1644847104,
SList 10000 insert,85,85800,8474939392,1644847104,
SList 10000 insert,86,86700,8474939392,1644847104,
SList 10000 insert,87,87700,8474939392,1644847104,
SList 10000 insert,88,88600,8474939392,1644847104,
SList 10000 insert,89,89600,8474939392,1644847104,
SList 10000 insert,90,90500,8474939392,1644847104,
SList 10000 insert,91,91400,8474939392,1644847104,
SList 10000 insert,92,92600,8474939392,1644847104,
SList 10000 insert,93,93500,8474939392,1644847104,
SList 10000 insert,94,94500,8474939392,1644847104,
SList 10000 insert,95,95400,8474939392,1644847104,
SList 10000 insert,96,96400,8474939392,1644847104,
SList 10000 insert,97,97300,8474939392,1644847104,
SList 10000 insert,98,98200,8474939392,1644847104,
SList 10000 insert,99,99200,8474939392,1644847104,
SList 10000 insert,100,100100,8474939392,1644847104,
SList 10000 insert,101,101100,8474939392,1644847104,
SList 10000 insert,102,102100,8474939392,1644847104,
SList 10000 insert,103,103000,8474939392,1644847104,
SList 10000 insert,104,104000,8474939392,1644847104,
SList 10000 insert,105,105100,8474939392,1644847104,
SList 10000 insert,106,106100,8474939392,1644847104,
SList 10000 insert,107,107000,8474939392,1644847104,
