"Test Case ID","UniqueId","TimeDifference","TotalMemory","FreeMemory"
"LinkedList 100 insert","1","0","128974848","120775776"
"LinkedList 100 insert","2","538074","128974848","120775776"
"LinkedList 100 insert","3","551901","128974848","120775776"
"LinkedList 100 insert","4","556642","128974848","120775776"
"LinkedList 100 insert","5","560593","128974848","120775776"
"LinkedList 100 insert","6","564148","128974848","120775776"
"LinkedList 100 insert","7","567704","128974848","120775776"
"LinkedList 100 insert","8","571259","128974848","120775776"
"LinkedList 100 insert","9","576000","128974848","120775776"
"LinkedList 100 insert","10","579556","128974848","120775776"
"LinkedList 100 insert","11","584692","128974848","120775776"
"LinkedList 100 insert","12","588642","128974848","120775776"
"LinkedList 100 insert","13","592198","128974848","120775776"
"LinkedList 100 insert","14","596938","128974848","120775776"
"LinkedList 100 insert","15","600494","128974848","120775776"
"LinkedList 100 insert","16","604445","128974848","120775776"
"LinkedList 100 insert","17","608000","128974848","120775776"
"LinkedList 100 insert","18","611556","128974848","120775776"
"LinkedList 100 insert","19","614716","128974848","120775776"
"LinkedList 100 insert","20","620247","128974848","120775776"
"LinkedList 100 insert","21","623408","128974848","120775776"
"LinkedList 100 insert","22","626963","128974848","120775776"
"LinkedList 100 insert","23","630914","128974848","120775776"
"LinkedList 100 insert","24","635655","128974848","120775776"
"LinkedList 100 insert","25","641185","128974848","120775776"
"LinkedList 100 insert","26","644741","128974848","120775776"
"LinkedList 100 insert","27","648297","128974848","120775776"
"LinkedList 100 insert","28","651457","128974848","120775776"
"LinkedList 100 insert","29","669630","128974848","120775776"
"LinkedList 100 insert","30","675161","128974848","120775776"
"LinkedList 100 insert","31","678321","128974848","120775776"
"LinkedList 100 insert","32","681877","128974848","120775776"
"LinkedList 100 insert","33","685037","128974848","120775776"
"LinkedList 100 insert","34","688988","128974848","120775776"
"LinkedList 100 insert","35","693729","128974848","120775776"
"LinkedList 100 insert","36","696889","128974848","120775776"
"LinkedList 100 insert","37","700445","128974848","120775776"
"LinkedList 100 insert","38","703605","128974848","120775776"
"LinkedList 100 insert","39","707161","128974848","120775776"
"LinkedList 100 insert","40","710321","128974848","120775776"
"LinkedList 100 insert","41","717037","128974848","120775776"
"LinkedList 100 insert","42","722173","128974848","120775776"
"LinkedList 100 insert","43","734815","128974848","120775776"
"LinkedList 100 insert","44","738371","128974848","120775776"
"LinkedList 100 insert","45","741531","128974848","120775776"
"LinkedList 100 insert","46","746667","128974848","120775776"
"LinkedList 100 insert","47","749827","128974848","120775776"
"LinkedList 100 insert","48","753383","128974848","120775776"
"LinkedList 100 insert","49","756939","128974848","120775776"
"LinkedList 100 insert","50","761679","128974848","120775776"
"LinkedList 100 insert","51","765235","128974848","120775776"
"LinkedList 100 insert","52","770371","128974848","120775776"
"LinkedList 100 insert","53","773926","128974848","120775776"
"LinkedList 100 insert","54","777087","128974848","120775776"
"LinkedList 100 insert","55","780642","128974848","120775776"
"LinkedList 100 insert","56","783803","128974848","120775776"
"LinkedList 100 insert","57","799605","128974848","120775776"
"LinkedList 100 insert","58","803161","128974848","120775776"
"LinkedList 100 insert","59","806716","128974848","120775776"
"LinkedList 100 insert","60","809877","128974848","120775776"
"LinkedList 100 insert","61","814223","128974848","120775776"
"LinkedList 100 insert","62","817383","128974848","120775776"
"LinkedList 100 insert","63","822914","128974848","120775776"
"LinkedList 100 insert","64","826074","128974848","120775776"
"LinkedList 100 insert","65","829630","128974848","120775776"
"LinkedList 100 insert","66","833581","128974848","120775776"
"LinkedList 100 insert","67","837136","128974848","120775776"
"LinkedList 100 insert","68","840297","128974848","120775776"
"LinkedList 100 insert","69","845828","128974848","120775776"
"LinkedList 100 insert","70","848988","128974848","120775776"
"LinkedList 100 insert","71","852544","128974848","120775776"
"LinkedList 100 insert","72","856099","128974848","120775776"
"LinkedList 100 insert","73","859260","128974848","120775776"
"LinkedList 100 insert","74","864791","128974848","120775776"
"LinkedList 100 insert","75","867951","128974848","120775776"
"LinkedList 100 insert","76","878223","128974848","120775776"
"LinkedList 100 insert","77","883358","128974848","120775776"
"LinkedList 100 insert","78","889679","128974848","120775776"
"LinkedList 100 insert","79","904297","128974848","120775776"
"LinkedList 100 insert","80","910618","128974848","120775776"
"LinkedList 100 insert","81","917729","128974848","120775776"
"LinkedList 100 insert","82","923655","128974848","120775776"
"LinkedList 100 insert","83","929976","128974848","120775776"
"LinkedList 100 insert","84","935902","128974848","120775776"
"LinkedList 100 insert","85","946568","128974848","120775776"
"LinkedList 100 insert","86","953284","128974848","120775776"
"LinkedList 100 insert","87","959210","128974848","120775776"
"LinkedList 100 insert","88","965136","128974848","120775776"
"LinkedList 100 insert","89","971062","128974848","120775776"
"LinkedList 100 insert","90","980149","128974848","120775776"
"LinkedList 100 insert","91","983704","128974848","120775776"
"LinkedList 100 insert","92","987260","128974848","120775776"
"LinkedList 100 insert","93","990420","128974848","120775776"
"LinkedList 100 insert","94","993976","128974848","120775776"
"LinkedList 100 insert","95","997136","128974848","120775776"
"LinkedList 100 insert","96","1002667","128974848","120775776"
"LinkedList 100 insert","97","1006223","128974848","120775776"
"LinkedList 100 insert","98","1009778","128974848","120775776"
"LinkedList 100 insert","99","2235656","128974848","120775776"
"LinkedList 100 insert","100","2249483","128974848","120775776"
"LinkedList 100 insert","101","2256199","128974848","120775776"
"LinkedList 10000 insert","102","0","128974848","120775776"
"LinkedList 10000 insert","103","17778","128974848","120775776"
"LinkedList 10000 insert","104","27654","128974848","120775776"
